úZethQuark Versi¢n 7.0ú                                                                                                      02/06/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              20:55:32
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ACICLAV 500MG+125MG TAB                     99          2.50      0.93          247.50            92.07           155.43
ACICLAV 875MG+125MG TAB                     46          3.00      1.89          138.00            86.94            51.06
ACICLOVIR 400MG TAB                        203          1.00      0.36          203.00            73.08           129.92
ACIDO FOLICO 0.5MG TAB BLSTX10               4          3.00      0.60           12.00             2.40             9.60
ACIDO FUSIDICO 2% CREMA X15G                 3         20.00     14.00           60.00            42.00            18.00
AERO-SIM 80MG/1ML GOTAS X15ML FRESA          8         20.00      8.70          160.00            69.60            90.40
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE        31          3.00      1.29           93.00            39.99            53.01
AFTOTEX SOLUCION SPRAY X30ML                 4         40.00     23.00          160.00            92.00            68.00
AGUA ESTERIL PARA INYEC.AMP                210          1.00      0.27          210.00            56.70           153.30
AIRUM JAT SOL.ORAL X120ML                    3         80.00     44.50          240.00           133.50           106.50
ALBENDAZOL 200MG TAB                        44          1.00      0.23           44.00            10.12            33.88
ALERCHECK PLUS 10MG CAP                    205          1.50      0.25          307.50            51.25           256.25
ALERGIZINA D TAB                            32          2.50      1.59           80.00            50.88            29.12
ALERLIV 5MG TAB                             13          2.00      0.22           26.00             2.86            23.14
ALPRAZOLAM 0.5MG TAB                       300          0.30      0.06           90.00            18.00            72.00
AMBROXOL 30MG/5ML ADULTO JRBE X120ML         3         15.00      3.90           45.00            11.70            33.30
AMIKACINA 500MG/2ML (IM/IV) AMP             80          5.70      1.55          456.00           124.00           332.00
AMPICILINA 1G (IM/IV) AMP                   10          4.00      1.69           40.00            16.90            23.10
ASCORBIC PROMOCION                          76         80.00     25.00        6,080.00         1,900.00         4,180.00
ASSA 81MG TAB                                8          1.00      0.75            8.00             6.00             2.00
ATORVASTATINA 20MG TAB BLSTX10              38          3.00      1.10          114.00            41.80            72.20
ATOS 15MG/5ML JRBE X120ML                    7         15.00      8.70          105.00            60.90            44.10
ATROPINA 0.50MG/1ML (IM/IV) AMP             10          4.00      1.47           40.00            14.70            25.30
