~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	~~~~~~~~~~~~
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	2
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
ABOCAT#24 CAJAX50UNID	1
	24
AGUA ESTERIL PARA INYEC. CAJAX100 AMPOL	L    0u  1
	
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	2
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	3
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	3
AGUJA #18 CAJAX100UNID.	3
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	6
AGUJA #18 CAJAX100UNID.	2
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	2
AGUJA #18 CAJAX100UNID.	2
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	3
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	3
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	3
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	2
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	2
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	1
AGUJA #18 CAJAX100UNID.	2
AGUJA #18 CAJAX100UNID.	1
	83
AGUJA #23 CAJAX100UNID.	0u  1
	
AMOXIC+A.CLAV 250MG+62.5MG/5ML SUSP120M	1
	
AMOXICI+ACID.CLAVULANICO X60ML SUSP	1
	
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
ANEURIN 25 000 CAJA X 1AMPOLLAS	1
	11
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	2
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
ASCORBIC PROMOCION ABRIL	1
	26
ASSIS 400 SUSPX220ML	1
ASSIS 400 SUSPX220ML	1
ASSIS 400 SUSPX220ML	1
ASSIS 400 SUSPX220ML	1
ASSIS 400 SUSPX220ML	1
ASSIS 400 SUSPX220ML	1
ASSIS 400 SUSPX220ML	1
ASSIS 400 SUSPX220ML	1
	8
BROMELIN 0,88GR SUSP ORALX100ML	1
BROMELIN 0,88GR SUSP ORALX100ML	1
BROMELIN 0,88GR SUSP ORALX100ML	1
BROMELIN 0,88GR SUSP ORALX100ML	1
	4
BROMURO DE IPRATROPIO 20MCG AEROS/INHAL	1
	
"CABESTRILLO DE NI;OS"	1
	
CAFAZOLBAC CAJAX1 AMPOLLA	2
CAFAZOLBAC CAJAX1 AMPOLLA	2
CAFAZOLBAC CAJAX1 AMPOLLA	2
	6
CANULA BINASAL L ADULTO	1
CANULA BINASAL L ADULTO	1
	2
CEFAZOLBAC 1G AMPX1	3
CEFAZOLBAC 1G AMPX1	1
CEFAZOLBAC 1G AMPX1	1
	5
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	2
CEFTRIAXONA 1g AMP CAJAX1OUNID	2
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	2
CEFTRIAXONA 1g AMP CAJAX1OUNID	2
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
CEFTRIAXONA 1g AMP CAJAX1OUNID	1
	20
CIPROBAC 500MG TABX100	0u 14
	
CLARITROMICINA 500MG CAJAX100	20
CLARITROMICINA 500MG CAJAX100	10
	30
CLENBUVENT JARABE   EXPECTORANTE	1
CLENBUVENT JARABE   EXPECTORANTE	1
CLENBUVENT JARABE   EXPECTORANTE	1
CLENBUVENT JARABE   EXPECTORANTE	1
