úZethQuark Versi¢n 7.0ú                                               19/04/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 19/03/2025 AL 19/04/2025        13:44:53
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT #20                                     24              5           EFR
ABOCAT #22                                     53              6           CLA
ABOCAT #24                                    590             71           FAB
ACICLAV 500MG+125MG TAB                       150             21           EFR
ACICLOVIR 400MG TAB                           103             62           ELI
ACICLOVIR 5% CREMA 5GR                          0              2           ELI
AERO-SIM 80MG/1ML GOTAS X15ML FRESA             8              3           FAB
AFP(CANCER DE HIGADO)                         985              1           ELI
AFTOTEX SOLUCION SPRAY X30ML                    4              1           ELI
AGLUTINACIONES                               8708             32           CLA
AGUA ESTERIL PARA INYEC.AMP                   150             39           CLA
AGUJA #18                                     908            366           CLA
AGUJA #21                                     349              4           CLA
AGUJA #22                                     235              1           EFR
AGUJA #23                                      42              7           EFR
ALBENDAZOL 200MG TAB                           94              4           MAR
ALBUMINA SUERO                                994              1           CLA
ALERCHECK PLUS 10MG CAP                       250             57           CLA
ALERGIZINA 5MG/5ML JRBE X60ML                   2              1           CLA
AMIKACINA 500MG/2ML (IM/IV) AMP                61             74           FAB
AMILASA                                       936              1           ELI
ASCORBIC PROMOCION                             65             52           FAB
ASO LATEX                                     975              1           CLA
ATORVASTATINA 20MG TAB BLSTX10                 40              8           EFR
AZITROMICINA 500MG TAB                         39              6           FAB
BATA DESCARTABLE                               29              1           ELI
BENCILPENIC PROCAINICA 1000000 AMP            109             33           CLA
BETAMETASONA 4MG/1ML AMP                       27              7           FAB
BISTURI #10                                    15              1           FAB
BONAZOL 40MG TAB                              265             35           CLA
BROMELIN 0,88GR SUSP X100ML                    21              9           CLA
BRONCOXAN DILAT JRBE X120ML                     4              1           ELI
BRUCELLA 2MET                                 993              1           ELI
BRUCELLA AGLU TUBO                            994              1           ELI
BRUCELLA ROSA DE BENGALA                      990              1           ELI
CAMPA:A MEDICINA GENERAL                      998              1           ELI
CANULA BINASAL L (ADULTO)                      59              1           FAB
CAPTOPRIL 25MG TAB BLSTX10                     21              1           FAB
CARNET DE SANIDAD HUAURA                     9997              1           ELI
CARNET DE SANIDAD SANTA MARIA                9998              2           CLA
CEA(ANTIGENO CARCINOEMBRIONARIO)              996              1           ELI
CEA(CANCER DE PULMON Y COLON)                 983              1           ELI
CEFTRIAXONA 1G AMP                            135             50           FAB
CELECOXIB 200MG CAP BLSTX10                     0              2           ELI
CERT. MEDICO LLENADO                         9999              2           MAR
CIDOBEL 500MG CAP                             184             16           FAB
CIPROFLOXACINO 500MG TAB BLSTX10               10              6           EFR
CITRAPOT POTE 300G NARANJA                      3              1           ELI
CLARITROX 500MG TAB                           496            184           CLA
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML         6              2           FAB
CLOBULER 15MG/5ML JRBE X100ML                   4              3           FAB
CLONAZEPAM 0.5MG TAB                          300             10           ELI
CLORFEDAN 10MG/1ML (IM/IV) AMP                 18              4           CLA
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             2              4           FAB
CLORFENAMINA 4MG BLSTX10                       14              1           FABúZethQuark Versi¢n 7.0ú                                               19/04/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 19/03/2025 AL 19/04/2025        13:45:02
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CLORURO DE SODIO 0,9% X100ML                  517            162           FAB
CLORURO DE SODIO 0,9% X250ML                   56             53           FAB
COLAG HP 420GR VAINILLA                         6              2           MAR
COLESTEROL                                    924              5           CLA
COLOCACION DE YESO                           9999              3           ELI
CONSULTA MEDICINA G. DOMICILIO DR MOLINA     9999              1           ELI
CONSULTA MEDICINA GENERAL DR B.BAYONA        9993             20           CLA
CONSULTA MEDICINA GENERAL DR M.MOLINA         842            169           EFR
CONSULTA MEDICINA GENERAL DRA K.TORRES        994              6           CLA
CONSULTA MEDICINA GENERAL DRA M.MAITA         981              4           CLA
CONSULTA TRAUMATOLOGIA DR E.HERNANDEZ         973              2           ELI
COPROLOGICO FUNCIONAL                         730              1           CLA
CREATINA                                      871              1           CLA
CREATININA                                   1000              6           MAR
CULTIVO DE SEC.VAGINAL                        954              1           ELI
CULTIVO DE SECRECION FARINGEA                 930              1           CLA
CULTIVO SECRECION OTICA                       994              2           EFR
DENGUE ANTIGENO NS1                          9999              1           ELI
DESAZONA 4MG TAB                               94              6           FAB
DEXCORTIL 4MG/2ML (IM/IV) AMP                  40             13           EFR
DEXIDE SR 1000 TAB                            136             14           CLA
DICLOFENACO 50MG TAB BLSTX10                    4              1           FAB
DICLOFIX 75MG/3ML (IM) AMP                    149             63           EFR
DOLALIVIO COLIK TAB                            39              9           GEN
DOLOL 160MG/5ML JRBE X60ML                      9              2           FAB
DOMICILIO TOMA DE MUESTRA                    9996              2           FAB
DOXIPROCT PLUS POMADA X12G                      4              1           ELI
DR.FLU CAP.BLANDAS                             68              2           ELI
ENDOVENOSO  EXTERNO                          9999              2           ELI
ENDOVENOSO DOMICILIO                         9999              1           ELI
ENDOVENOSO INSULINA ISOFANA HUMANA            412              1           MAR
ENDOVENOSO INTERNO                          45008            104           CLA
ENTEROGERMINA AMP.BEBIBLE                       0             38           FAB
EPINEFRINA 1MG/ML AMP                           5              6           ELI
EQUIPO DE VENOCLISIS 20GOT/ML                 462             81           CLA
EQUIPO MICROGOTERO CON VOLUTROL 100ML          16              5           CLA
ESPECULO TALLA M                               11              1           ELI
EVACUOL PLUS SOLUCION X266ML                    2              1           ELI
EYEMO COLIRIO 0.05% SOL.OFTA X8ML               7              2           EFR
FACTOR REUMATOIDE CUANTITATIVO                947              1           ELI
FLEX 4MG TAB                                   30             20           ELI
FLEX NF 2MG/1ML AMP (IM)                        0              2           ELI
FLOREA CAP                                     43             49           FAB
FLUIMEXINA 600MG SOB                          234             35           MAR
FOSFUROL 3G SOB X1                              8              2           ELI
FRASCO PARA M.HECES                           233             44           CLA
FRASCO PARA M.ORINA                           295             52           CLA
FROTIS DIRECTO(KOH-HONGOS)                    724              1           ELI
FRUTI FLEX FRESA X1L                           17              7           FAB
FRUTTIPED FRESA X500ML                         19              1           ELI
G.G.T.P                                       855              2           ELI
GASA 10X10                                    170             26           FAB
GASEOVET MS SUSP X220ML                        10             16           FAB
GENOGEL PLUS POTE X500G                         6              3           FAB
GERIA CARE POTE X1000G                          1              3           EFRúZethQuark Versi¢n 7.0ú                                               19/04/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 19/03/2025 AL 19/04/2025        13:45:02
PRT123()                                                              Pag.-    3
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
GLIBENCLAMIDA 5MG TAB BLSTX10                  18              1           CLA
GLUCOSA                                      8623             28           FAB
GLUCOTECH                                      13             30           FAB
GLYCOLAX 17G SOB                               36              4           FAB
GRAVDAN 50MG/5ML (IM/IV) AMP                   14              1           MAR
GRUPO SANGUINEO/FACTOR RH                     947              1           ELI
HCG PRUEBA EMBARAZO RAPIDA                     10             10           ELI
HCG SUB UNIDAD BETA CUANTITATIVO              893              1           ELI
HELICOBACTER IGG                              932              1           CLA
HELICOBACTER IGM                            10012             19           CLA
HELICOBACTER PYORI ANTIGENO FECALES          9999              3           EFR
HEMOG. GLICOSILADA                          10005              7           CLA
HEMOGLOBINA HEMATOCRITO                       707              3           EFR
HEMOGRAMA COMPLETO                          10029             45           ELI
HEPABIONTA 2ML AMP                              7             15           CLA
HEPATITIS B ANTIGENO AUSTRALIANO              979              1           FAB
HEPATITISB,ANTI HB Ag(AUST)                   999              1           ELI
HIV                                         10012              1           GEN
HORMONAL FEMENINO(FSH-LH ESTRADIOL)           988              1           MAR
IBUSOL 100MG/5ML SUSP X60ML                     2              7           FAB
INFILTRACION DE ARTICULACIONES               9999              2           ELI
INMUNO PED SOBRE                              337             22           ELI
INSULINA                                      825              1           CLA
INSULINA APLICACION 1-3 WOSULIN N               5              1           ELI
INYECTABLE   INTRAMUSCULAR EXTERNO           1332             20           ELI
JERINGA 10ML                                   99            150           CLA
JERINGA 1ML                                   182              2           CLA
JERINGA 20ML                                  304            174           CLA
JERINGA 3ML                                   199              2           EFR
JERINGA 5ML                                    60             23           CLA
KETALGESICO 25MG TAB                           54             10           ELI
KETOPROFENO 100MG/2ML (IM) AMP                  2              3           FAB
KETOPROPHARM 100MG/5ML (IV) AMP                87             57           FAB
LAGOSA 150MG TAB                              220             30           EFR
LAVADO DE OIDO I                             9997              2           EFR
LAVADO DE OIDO II                            1804              2           ELI
LAVADO OCULAR                                9998              1           ELI
LIDOCAINA 2% X20ML AMP                         43             12           FAB
LINCOMAX 600MG/2ML (IM/IV) AMP                 45             12           FAB
LIPASA                                        999              1           ELI
LLAVE TRIPLE VIA                              304             73           CLA
LORATADINA 10MG TAB BLSTX10                    10              3           ELI
MASCARILLA NEBULIZADORA (ADULTO)               13              2           MAR
MASCARILLA NEBULIZADORA (PEDIATRICO)           21              3           ELI
MATERIALES DE TRAUMATOLOGIA                   999              1           ELI
MEGADERM CREMA X10G                             0              1           FAB
METAMIZOL 1G/2ML AMP                           41              3           MAR
METOCLONYL 10MG/2ML AMP                         9              1           CLA
MICROALBUMINURIA ORINA SIMPLE               10002              2           ELI
MOBILISIN GEL X40GR                             5              3           FAB
MOTRIF 1% GEL TUBO X50G                         6              1           ELI
MUCOBROL 300MG/3ML AMP                         25              5           MAR
MUCOCETIL 100MG/5ML SOL.ORAL X120ML             6              1           FAB
MULCEROL 40MG TAB                               0            297           MAR
NEBULIZACION X 3                             9999              5           MARúZethQuark Versi¢n 7.0ú                                               19/04/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 19/03/2025 AL 19/04/2025        13:45:02
PRT123()                                                              Pag.-    4
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
NEBULIZACION X2                              9999              2           EFR
NEUMOPUL POTE 500G VAINILLA                     6              1           FAB
NORSPAN 5MG PARCHE                              4              1           ELI
NYLON #4                                       44              1           EFR
OMEPRAZOL 40MG AMP                             91             26           CLA
OMETAB 20MG TAB                               122              3           FAB
ORFELAX 60MG/2ML (IM/IV) AMP                  137             58           FAB
ORINA COMPLETA                               7568             53           ELI
OTIDOL NF SOL.OTICA X5ML                        7              5           EFR
OXIGENO 1 LITRO                               974              2           FAB
PALATOX 15MG/5ML JRBE X120ML                    3              1           FAB
PAPANICOLAOU                                  839              1           ELI
PARACETAMOL 1000MG/100ML (IV) AMP               4              1           MAR
PARACETAMOL 120MG/5ML SOL.ORAL X60ML            1              1           MAR
PARACETAMOL 500MG TAB BLSTX10                  26              2           FAB
PARASITOLOGICO SIMPLE                         603             29           CLA
PARASITOLOGICO X3                            9963              6           CLA
PASAJE DOMICILIO 6                           9981              2           FAB
PASMODAN 20MG/ML (IM/IV) AMP                   30              4           FAB
PCR CUANTITATIVA                            10001              6           MAR
PEDIALYTE MAX SABOR UVA X500ML                  4              3           MAR
PERFIL DE COAGULACION                         980              1           CLA
PERFIL HEPATICO                              1011             28           CLA
PERFIL LIPIDICO                              1042             30           CLA
PERFIL REUMATICO                             1017              7           FAB
PHYTO SOYA 17.5MG TAB                          53             35           EFR
PIRIALIV 100MG TAB                             96             12           ELI
PLIDOCHECK 400MG CAP                           87              9           EFR
PRESION                                      1579              3           ELI
PRESION + SATURACION                          995              1           ELI
PRODEFEN PLUS SOBRE                           187             38           MAR
PRONOLIS HD 120MG/4.8ML MONO 2.5%               0              2           ELI
PRONTEL 100MG/5ML JRBE X20ML                   12              1           MAR
PROTEVIT KIDS POTE 1000G VAINILLA               3              1           ELI
PRUEBA DE ALERGIA                             965              2           CLA
